name,screen_name,party,total_tweets,covid_tweets
"Pflüger, Tobias",tpflueger,Die Linke,110,11
"Pilsinger, Stephan",StephPilsinger,CSU,13,7
"Podolay, Paul Viktor",Paul_Podolay,AfD,3,1
"Pohl, Jürgen",Pohl_MdB,AfD,63,11
"Polat, Filiz",filizgreen,Bündnis 90/Die Grünen,558,73
"Protschka, Stephan",AfDProtschka,AfD,966,187
"Reichardt, Martin",M_Reichardt_AfD,AfD,816,126
"Remmers, Ingrid",Ingrid_Remmers,Die Linke,44,2
"Renner, Martin Erwin",Renner_AfD,AfD,199,26
"Riexinger, Bernd",b_riexinger,Die Linke,558,129
"Reuther, Bernd",reuther_bernd,FDP,129,22
"Ullrich, Gerald",G_UllrichFDP,FDP,379,106
"Rouenhoff, Stefan",StefanRouenhoff,CDU,21,2
"Sattelberger, Thomas",th_sattelberger,FDP,2119,273
"Schäfer, Anita",SchaeferCDU,CDU,0,0
"Schäffler, Frank",f_schaeffler,FDP,847,95
"Scheer, Nina",NinaScheer_SPD,SPD,34,5
"Schielke-Ziesing, Ulrike",ulschzi,AfD,316,62
"Schinnenburg, Dr. Wieland",WSchinnenburg,FDP,211,42
"Schmid, Dr. Nils",NilsSchmid,SPD,480,89
"Schneider, Jörg",Schneider_AfD,AfD,348,44
"Schraps, Johannes",jschraps,SPD,37,5
"Schreiner, Felix",felixschreiner,CDU,78,21
"Schrodi, Michael",mischrodi,SPD,211,21
"Schulz, Martin",MartinSchulz,SPD,47,13
"Schulz, Uwe",Uwe_Schulz_AfD,AfD,25,8
"Schweiger, Torsten",cdu_schweiger,CDU,14,3
"Seitz, Thomas",Th_Seitz_AfD,AfD,14,0
"Sichert, Martin",Martin_Sichert,AfD,247,57
"Simon, Björn",BjoernSimon,CDU,56,25
"Sitta, Frank",franksitta,FDP,22,2
"Solms, Dr. Hermann Otto",solms,FDP,100,11
"Sommer, Evrim",HESommer,Die Linke,830,160
"Spaniel, Dr. Dirk",DirkSpaniel,AfD,74,18
"Mieruch, Mario",MieruchMario,Fraktionslos,5183,272
"Staffler, Katrin",katrin_staffler,CSU,38,7
"Stark-Watzinger, Bettina",starkwatzinger,FDP,707,131
"Steier, Andreas",AndreasSteier,CDU,255,49
"Stein, Jens Mathias",stonie_kiel,SPD,437,16
"Stein, Peter",Peter_Stein_CDU,CDU,316,52
"Storch, Beatrix von",Beatrix_vStorch,AfD,414,103
"Strack-Zimmermann, Dr. Marie-Agnes",MAStrackZi,FDP,2595,99
"Strasser, Benjamin",bstrasser,FDP,376,43
"Suding, Katja",KatjaSuding,FDP,473,121
"Teuteberg, Linda",LindaTeuteberg,FDP,208,27
"Theurer, Michael",EUTheurer,FDP,379,64
"Thomae, Stephan",StephanThomae,FDP,537,105
"Tiemann, Dr. Dietlind",dr_tiemann,CDU,0,0
"Todtenhausen, Manfred",MTodtenhausen,FDP,49,8
"Toncar, Dr. Florian",florian_toncar,FDP,358,33
"Töns, Markus",Toens_NRW04,SPD,223,6
"Uhl, Markus",uhl_markus,CDU,1,1
"Ullmann, Prof. Dr. Andrew",UllmannMdB,FDP,822,350
"Vogel, Johannes",johannesvogel,FDP,2226,122
"Wagner, Andreas",Andi_Wagner,Die Linke,301,68
"Wagner, Daniela",DanyWagner_DA,Bündnis 90/Die Grünen,169,14
"Weeser, Sandra",sandra_weeser,FDP,2142,231
"Weidel, Dr. Alice",Alice_Weidel,AfD,325,120
"Weyel, Prof. Dr. Harald",h_weyel,AfD,821,56
"Wildberg, Dr. Heiko",Heiko_Wildberg,AfD,0,0
"Wirth, Dr. Christian Friedrich",ChrWirthMdB,AfD,63,3
"Witt, Uwe",Witt_Uwe,AfD,229,63
"Ziemiak, Paul",PaulZiemiak,CDU,573,107
"Braun, Jürgen",JuergenBraunAfD,AfD,1451,303
"Jacobi, Fabian",Jacobi_AfD,AfD,352,4
"König, Jörn",JoernKoenigAfD,AfD,0,0
"Magnitz, Frank",Frank_Magnitz,AfD,2,0
"Springer, René",Rene_Springer,AfD,75,11
"Kraft, Dr. Rainer",Dr_Rainer_Kraft,AfD,404,25
"Hoffmann, Dr. Bettina",bhoffmann_mdb,Bündnis 90/Die Grünen,200,6
"Kappert-Gonther, Dr. Kirsten",KirstenKappert,Bündnis 90/Die Grünen,250,34
"Keul, Katja",KatjaKeul,Bündnis 90/Die Grünen,135,3
"Stumpp, Margit",margit_stumpp,Bündnis 90/Die Grünen,483,70
"Biadacz, Marc",MBiadaczMdB,CDU,191,42
"Knoerig, Axel",axel_knoerig,CDU,16,3
"Mast, Katja",KatjaMast,SPD,831,179
"Müntefering, Michelle",Mi_Muentefering,SPD,610,67
"Silberhorn, Thomas",SilberhornMdB,CSU,110,22
"Schreiber, Eva-Maria",MdB_Schreiber,Die Linke,377,92
"Straetmanns, Friedrich",FrStraetmanns,Die Linke,523,112
"Busen, Karlheinz",busen_mdb,FDP,16,5
"Djir-Sarai, Bijan",DjirSarai,FDP,242,29
"in der Beek, Olaf",olafinderbeek,FDP,262,58
"Willkomm, Katharina",k_willkomm,FDP,451,33
"Mansmann, Till",TillMansmann,FDP,43,5
